code,product_name,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,categories_en
0032251307294,Onion flavored rings,607.0,2540.0,42.86,7.14,0.0,0.0,50.0,3.57,0.0,3.57,1.6075,0.643,0.0,0.0,21.0,Snacks
4901577046414,"Paxs, caesar salad dressing",473.0,1979.0,48.67,0.0,0.0,0.0,4.67,4.67,0.0,2.67,2.5825,1.033,0.0,0.0,16.0,"Condiments,Sauces,Groceries"
79606010102,Red hot beef big burrito,296.0,1238.0,14.08,4.93,0.0,0.014,34.51,0.7,2.8,7.75,1.2675,0.507,0.028,0.00254,10.0,Frozen foods
0041570130520,Snack crackers,439.0,1837.0,10.53,0.88,0.0,0.0,77.19,1.75,3.5,8.77,0.8325,0.333,0.049,0.00175,0.0,"Snacks,Salty snacks,Appetizers,Crackers"
689423002718,"Gesher, snack pack, barbeque",496.0,2075.0,25.0,11.79,1.79,0.0,58.93,3.57,0.0,9.29,1.5525,0.621,0.0,0.0,22.0,Snacks
627841150000,Baguette Crisps,464.0,1941.0,14.29,0.0,0.0,0.0,67.86,3.57,3.6,14.29,1.965,0.786,0.0,0.00386,10.0,"Snacks,Sweet snacks,Biscuits and cakes"
70784296425,Spanish manzanilla olives stuffed with minced pimientos,167.0,699.0,16.67,3.33,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.2,0.0,0.0,13.0,Salted-snacks
41415402676,Green bean casserole,71.0,297.0,2.21,1.33,0.0,0.004,10.62,2.65,1.8,1.77,0.73,0.292,0.018,0.00096,0.0,Frozen foods
36800306691,Fudge graham cookies,478.0,2000.0,21.74,13.04,0.0,0.0,69.57,34.78,0.0,4.35,0.87,0.348,0.0,0.00157,25.0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits"
7789034140,"Multi-grain round tortilla chips, multi-grain round",500.0,2092.0,25.0,1.79,0.0,0.0,64.29,3.57,3.6,7.14,1.16,0.464,0.0,0.00214,9.0,Snacks
